############################################################
#######FICHERO DE LOG DE PARTIDA, PUEDES BORRARLO###########
############################################################
Fri Oct 09 10:32:43 CEST 2015;Neutro
Usuario 1;Fri Oct 09 10:33:01 CEST 2015;0;0;T;inventario.
Usuario 1;Fri Oct 09 10:33:02 CEST 2015;0;0;T;pasillo.
Usuario 1;Fri Oct 09 10:33:08 CEST 2015;0;0;T;Atico.
Usuario 1;Fri Oct 09 10:33:09 CEST 2015;0;0;L;Atico;1
Usuario 1;Fri Oct 09 10:33:09 CEST 2015;0;0;L;Atico;0
Usuario 1;Fri Oct 09 10:33:10 CEST 2015;0;0;V;Niña;Atico;1
Usuario 1;Fri Oct 09 10:33:12 CEST 2015;0;0;I;Niña;Atico;Caramelo
Usuario 1;Fri Oct 09 10:33:12 CEST 2015;0;0;V;Niña;Atico;1
Usuario 1;Fri Oct 09 10:33:18 CEST 2015;0;0;J;Niña;Atico;Caramelo;0
Usuario 1;Fri Oct 09 10:33:20 CEST 2015;-100;0;V;Niña;Atico;1
Usuario 1;Fri Oct 09 10:33:23 CEST 2015;-100;0;J;Niña;Atico;Caramelo;1
Usuario 1;Fri Oct 09 10:33:26 CEST 2015;-100;0;P;Niña;Atico;personaje;collar
Usuario 1;Fri Oct 09 10:33:26 CEST 2015;-100;900;F;Niña;Atico;Caramelo
Usuario 1;Fri Oct 09 10:33:27 CEST 2015;-100;900;T;Pasillo.
Usuario 1;Fri Oct 09 10:33:35 CEST 2015;-100;900;T;Salon.
Usuario 1;Fri Oct 09 10:33:36 CEST 2015;-100;900;V;Anciana;Salon;1
Usuario 1;Fri Oct 09 10:33:38 CEST 2015;-100;900;I;Anciana;Salon;Caramelo
Usuario 1;Fri Oct 09 10:33:39 CEST 2015;-100;900;V;Anciana;Salon;1
Usuario 1;Fri Oct 09 10:33:45 CEST 2015;-100;900;J;Anciana;Salon;Caramelo;1
Usuario 1;Fri Oct 09 10:34:14 CEST 2015;-100;900;P;Anciana;Salon;personaje;collar
Usuario 1;Fri Oct 09 10:34:14 CEST 2015;-100;1900;F;Anciana;Salon;Caramelo
Usuario 1;Fri Oct 09 10:34:15 CEST 2015;-100;1900;T;Pasillo.
Usuario 1;Fri Oct 09 10:34:21 CEST 2015;-100;1900;T;Dormitorio.
